iter	MultiClass
0	1.070109695
1	0.9667794634
2	0.8967529242
3	0.8358022158
4	0.7833800894
5	0.7421352885
6	0.7048015174
7	0.6748817591
8	0.647981262
9	0.6223164293
10	0.6006394192
11	0.5822259693
12	0.566810279
13	0.5532195058
14	0.541777481
15	0.530258482
16	0.5191238133
17	0.5096183224
18	0.5015146884
19	0.4954774019
20	0.4882730983
21	0.4830205843
22	0.4774211372
23	0.472892256
24	0.4691602072
25	0.4646421487
26	0.4608995132
27	0.4574008178
28	0.4542190532
29	0.4515997718
30	0.4481675974
31	0.4456348223
32	0.4431988889
33	0.440045561
34	0.4380588361
35	0.4359684337
36	0.4344852528
37	0.4331876143
38	0.4323163264
39	0.4306495684
40	0.4295832854
41	0.4286966991
42	0.4274712765
43	0.4250941502
44	0.4232543418
45	0.4221881978
46	0.4214115491
47	0.4208375682
48	0.4204524825
49	0.4189121963
50	0.4182821263
51	0.417668448
52	0.4169721784
53	0.4165282196
54	0.4158488656
55	0.4152072097
56	0.4143499486
57	0.4139672767
58	0.4135034813
59	0.4131483936
60	0.4127049373
61	0.4120069566
62	0.4115374663
63	0.4112680362
64	0.4110584396
65	0.4103731623
66	0.4096386602
67	0.4090634884
68	0.4086794437
69	0.4082851175
70	0.4077275605
71	0.4070515987
72	0.4067723018
73	0.4063435225
74	0.4060851614
75	0.405971136
76	0.4054109041
77	0.4053656561
78	0.405121184
79	0.4049992071
80	0.404883102
81	0.4040282697
82	0.4037510291
83	0.4033596819
84	0.4032550938
85	0.4030198498
86	0.4028406856
87	0.4026664232
88	0.402451272
89	0.4022896199
90	0.4015913552
91	0.4014694959
92	0.4011013339
93	0.4008478392
94	0.4001751694
95	0.3997470117
96	0.399482741
97	0.399329341
98	0.3991612778
99	0.3989425514
100	0.3987937836
101	0.3982848457
102	0.3980240093
103	0.3978743867
104	0.3976885332
105	0.3974902074
106	0.3973552445
107	0.3970544872
108	0.3968249356
109	0.3967172436
110	0.3963423872
111	0.3960833061
112	0.3960229519
113	0.3957543337
114	0.3956023705
115	0.3954779471
116	0.3953287269
117	0.3950546116
118	0.3946868719
119	0.3943192004
120	0.3938921825
121	0.3935021221
122	0.3933199615
123	0.3932164627
124	0.3929615617
125	0.3928423318
126	0.3922825199
127	0.3919793342
128	0.3908316271
129	0.3906333261
130	0.3905713128
131	0.3902824663
132	0.3901879155
133	0.3898158059
134	0.3897843129
135	0.3895799866
136	0.3891619974
137	0.3889760289
138	0.3889287859
139	0.3888301431
140	0.3885240523
141	0.3883152831
142	0.3879757769
143	0.3876390914
144	0.3873750259
145	0.3870971509
146	0.3868257725
147	0.3865270166
148	0.3864364201
149	0.3861653986
150	0.3859716773
151	0.3852133851
152	0.3846545281
153	0.3844463591
154	0.383870168
155	0.3836461363
156	0.3834961485
157	0.3833120004
158	0.3832391309
159	0.3830106206
160	0.3827559054
161	0.3824128996
162	0.3822998848
163	0.3822974574
164	0.3821464687
165	0.3820660128
166	0.3817550691
167	0.3813807322
168	0.3812395503
169	0.3812055844
170	0.3811321307
171	0.3811224879
172	0.3809696755
173	0.3808627004
174	0.3803872142
175	0.3803320439
176	0.3801686154
177	0.3801159069
178	0.3798219052
179	0.3796437058
180	0.3795648961
181	0.3792921493
182	0.3790846661
183	0.3789644899
184	0.3787323241
185	0.3786538385
186	0.3785980022
187	0.3785692184
188	0.3784866292
189	0.3783554126
190	0.3782659788
191	0.3779736112
192	0.3778991863
193	0.3778746512
194	0.3776309529
195	0.3774299586
196	0.3773594668
197	0.3768817497
198	0.376658192
199	0.3762642619
200	0.3760353893
201	0.3759315884
202	0.3757823483
203	0.3756056484
204	0.3754973719
205	0.3752270342
206	0.3751941582
207	0.3751527665
208	0.3750582752
209	0.374966142
210	0.3747717708
211	0.3747417677
212	0.3745533938
213	0.3744153645
214	0.3742767368
215	0.3739725718
216	0.3737338257
217	0.3735473057
218	0.3733379356
219	0.3732857208
220	0.3732351633
221	0.3730433137
222	0.3728349123
223	0.3727688313
224	0.3726851507
225	0.3722825167
226	0.3722104804
227	0.3721655503
228	0.3720747295
229	0.3718625159
230	0.3716542905
231	0.3714551499
232	0.3714065665
233	0.3713438327
234	0.3711076533
235	0.3710668335
236	0.3708866041
237	0.370737863
238	0.3705235759
239	0.3704667112
240	0.3702957281
241	0.3701079905
242	0.369752047
243	0.3696336711
244	0.3693839137
245	0.369289957
246	0.3691680832
247	0.3690794356
248	0.3688820054
249	0.3685989985
250	0.3685049966
251	0.3684553881
252	0.3684019713
253	0.3682064183
254	0.3680830203
255	0.3680240315
256	0.3679045581
257	0.3676980478
258	0.3675455574
259	0.3674208642
260	0.3672837046
261	0.3671909836
262	0.3669760285
263	0.3669195354
264	0.3668664042
265	0.3667350473
266	0.3664544947
267	0.366416299
268	0.3662862612
269	0.3661237057
270	0.366008388
271	0.3658281533
272	0.3657421594
273	0.3656821659
274	0.3655386106
275	0.3653325053
276	0.3650360343
277	0.3649074612
278	0.364587822
279	0.3643074871
280	0.3642249879
281	0.3641713017
282	0.3640490419
283	0.3639080809
284	0.3637680329
285	0.3636296524
286	0.3635061339
287	0.3633137602
288	0.3630301353
289	0.3629159487
290	0.3625633599
291	0.3623382751
292	0.3621689697
293	0.3621278547
294	0.3618235349
295	0.3617773818
296	0.3614729854
297	0.3613102232
298	0.3612626762
299	0.3611236201
300	0.3610093628
301	0.3609183591
302	0.3608512248
