iter	Passed	Remaining
0	3593	3589901
1	10251	5115674
2	11792	3918926
3	16899	4207991
4	21323	4243355
5	24821	4112028
6	32435	4601223
7	33949	4209792
8	41660	4587316
9	47531	4705586
10	54355	4887053
11	61987	5103649
12	66015	5012116
13	69098	4866481
14	70619	4637316
15	76191	4685761
16	83577	4832766
17	91928	5015236
18	99500	5137373
19	101036	4950767
20	109065	5084544
21	116111	5161680
22	125462	5329431
23	134745	5479670
24	140730	5488481
25	148332	5556752
26	157147	5663133
27	165484	5744662
28	174640	5847446
29	182685	5906845
30	192026	6002380
31	199962	6048877
32	207510	6080694
33	216743	6158059
34	225363	6213582
35	233896	6263238
36	242460	6310533
37	250602	6344199
38	257658	6348959
39	267887	6429288
40	276429	6465764
41	285051	6501882
42	293976	6542690
43	303316	6590246
44	312915	6640753
45	322715	6692830
46	331937	6730566
47	340187	6747050
48	347735	6748899
49	355909	6762272
50	365763	6806060
51	374452	6826560
52	383151	6846126
53	392306	6872633
54	402335	6912861
55	411452	6935918
56	420475	6956288
57	429169	6970309
58	437769	6982047
59	446309	6992174
60	456380	7025271
61	465914	7048828
62	474525	7057622
63	484201	7081452
64	492171	7079697
65	501454	7096347
66	510351	7106831
67	519920	7125970
68	528611	7132431
69	537403	7139792
70	546410	7149512
71	554544	7147463
72	563871	7160399
73	573144	7172049
74	581684	7174111
75	590467	7178843
76	598742	7177133
77	607923	7185963
78	616782	7190585
79	623891	7174750
80	633038	7182253
81	642757	7195744
82	651086	7193331
83	660280	7200196
84	669624	7208314
85	678134	7207146
86	687097	7210576
87	695705	7210035
88	702920	7195058
89	711651	7195586
90	721196	7204043
91	730450	7209224
92	738224	7199673
93	747013	7199942
94	756851	7210010
95	764591	7199899
96	774282	7208012
97	782997	7206776
98	791856	7206692
99	800980	7208821
100	809267	7203283
101	818924	7209744
102	828823	7218008
103	838250	7221846
104	847998	7228173
105	856842	7226575
106	864505	7214983
107	873332	7213082
108	883014	7218039
109	891877	7216098
110	899960	7207791
111	907965	7198869
112	915907	7189465
113	925725	7194673
114	934001	7187747
115	943126	7187271
116	950241	7171482
117	958428	7163845
118	967652	7163884
119	976310	7159609
120	985937	7162306
121	995365	7163369
122	1004212	7160115
123	1012537	7153087
124	1022310	7156170
125	1031028	7151739
126	1040539	7152687
127	1048801	7144961
128	1057253	7138506
129	1066441	7136952
130	1075353	7133453
131	1084229	7129631
132	1092411	7121208
133	1100449	7111859
134	1108485	7102518
135	1118033	7102803
136	1127044	7099560
137	1135791	7094582
138	1144075	7086683
139	1152673	7080710
140	1162247	7080644
141	1172145	7082402
142	1182015	7083828
143	1189817	7072805
144	1198303	7065857
145	1207587	7063558
146	1216844	7061006
147	1225959	7057548
148	1234651	7051598
149	1244004	7049357
150	1253092	7045531
151	1262599	7043976
152	1271229	7037460
153	1280618	7035087
154	1289474	7029718
155	1297851	7021712
156	1305905	7011961
157	1315089	7008262
158	1322879	6997116
159	1331784	6991868
160	1341282	6989663
161	1350142	6984070
162	1358863	6977724
163	1367502	6970927
164	1376387	6965354
165	1385536	6961070
166	1394734	6956968
167	1404506	6955652
168	1412535	6945660
169	1420343	6934616
170	1428413	6924883
171	1437349	6919333
172	1445818	6911515
173	1454146	6903017
174	1463466	6899197
175	1471770	6890560
176	1480314	6883043
177	1488843	6875446
178	1498089	6871125
179	1507363	6866877
180	1516312	6861103
181	1526148	6859282
182	1535556	6855463
