iter	MultiClass
0	1.742315294
1	1.558731867
2	1.433255942
3	1.340683334
4	1.26598832
5	1.203584893
6	1.152788041
7	1.109329221
8	1.071253557
9	1.038552305
10	1.017146704
11	0.9921710537
12	0.9711258225
13	0.9533056073
14	0.9368502169
15	0.9233449094
16	0.9092140741
17	0.8979152835
18	0.8896345691
19	0.8802532543
20	0.871972558
21	0.8642578812
22	0.8559543343
23	0.8499503817
24	0.8463038504
25	0.8406320915
26	0.8355052375
27	0.8315721555
28	0.8274707298
29	0.8232614065
30	0.8202812592
31	0.8170228131
32	0.8130451747
33	0.810020337
34	0.8064252162
35	0.8054374889
36	0.8030184239
37	0.8010093766
38	0.7988233517
39	0.796276438
40	0.7940431595
41	0.7917848075
42	0.7904002108
43	0.7892875619
44	0.7886612384
45	0.7877514859
46	0.7866744059
47	0.785032464
48	0.7839970671
49	0.7826781598
50	0.781808194
51	0.7804107262
52	0.7788207624
53	0.7774766656
54	0.7770243973
55	0.7767018811
56	0.7761694734
57	0.7753421425
58	0.7744027399
59	0.7731562002
60	0.7727627093
61	0.77188047
62	0.7712541532
63	0.7709289885
64	0.7703052158
65	0.7697918925
66	0.7692579402
67	0.768676556
68	0.7681650854
69	0.7679437755
70	0.7672205551
71	0.766901869
72	0.7662540044
73	0.7660139309
74	0.7652974972
75	0.7649164593
76	0.7645813519
77	0.7643713846
78	0.764090461
79	0.7638489615
80	0.7635059728
81	0.7630709321
82	0.7624229177
83	0.7622112805
84	0.7615720971
85	0.7614169495
86	0.7612419596
87	0.7606923031
88	0.760448891
89	0.7600333867
90	0.759185781
91	0.7591071453
92	0.757930985
93	0.7575860614
94	0.7572375595
95	0.7571412221
96	0.7569276022
97	0.7567982965
98	0.7561422716
99	0.7557043014
100	0.7554380309
101	0.7552948709
102	0.7550838534
103	0.7548610353
104	0.7543761652
105	0.754077237
106	0.7537125099
107	0.7534867427
108	0.7533650479
109	0.7533097893
110	0.7530002025
111	0.7523271024
112	0.7514476333
113	0.7512053934
114	0.7506404744
115	0.7504450277
116	0.7501478883
117	0.7500159216
118	0.7497838043
119	0.7495068966
120	0.7492335265
121	0.7488408094
122	0.7482673358
123	0.7478008626
124	0.7475793078
125	0.747161266
126	0.7468294337
127	0.7464097801
128	0.745957703
129	0.7456787316
130	0.7448251751
131	0.7442392904
132	0.7438133038
133	0.7433637711
134	0.7431150035
135	0.7426356019
136	0.7422555477
137	0.7421070735
138	0.741815958
139	0.7417198247
140	0.7415126345
141	0.7409054099
142	0.7407452599
143	0.7403369408
144	0.7400177908
145	0.7399793788
146	0.7398536578
147	0.7397388585
148	0.7393571823
149	0.7392155994
150	0.7390226298
151	0.7389638084
152	0.738790832
153	0.7385366758
154	0.7383762631
155	0.7381501857
156	0.7379436927
157	0.7378211174
158	0.7376212123
159	0.737368043
160	0.7370534381
161	0.7368764237
162	0.7365710081
163	0.7362365901
164	0.7361935063
165	0.7360398834
166	0.7358804046
167	0.7358403582
168	0.7355717241
169	0.735431295
170	0.735307963
171	0.735010357
172	0.7348306896
173	0.7345527114
174	0.7344980452
175	0.7342137555
176	0.7341285818
177	0.7339920526
178	0.7339373057
179	0.7337468287
180	0.7335636652
181	0.7333499957
182	0.7332253363
183	0.7330203351
184	0.7328435967
185	0.7326945521
186	0.7325356113
187	0.7321644154
188	0.7318396117
189	0.7316364662
190	0.731377598
191	0.7313025105
192	0.7311298929
193	0.7310256279
194	0.730953288
195	0.7307052256
196	0.730584695
197	0.7301348514
198	0.7300467004
199	0.7297459645
200	0.7295672201
201	0.7294724107
202	0.729171548
203	0.7289914367
204	0.7288187888
205	0.7285083269
206	0.7284157306
207	0.7283386685
208	0.7280164129
209	0.7278834185
210	0.7277692559
211	0.7277153116
212	0.7273754256
213	0.7272159625
214	0.7271336434
215	0.7270197215
216	0.7268509119
217	0.7267056953
218	0.7265386464
219	0.7264478533
220	0.7262867034
221	0.7262100837
222	0.7261233584
223	0.7260149424
224	0.7258877226
225	0.7258117231
226	0.7256747249
227	0.7255670664
228	0.7253863
229	0.7252908011
230	0.7250101972
231	0.7249444422
232	0.72465375
233	0.7244883637
234	0.7244066395
235	0.7242504228
