iter	MultiClass
0	2.49525699
1	2.400515185
2	2.320418404
3	2.260674561
4	2.208005975
5	2.170680372
6	2.135225927
7	2.105074472
8	2.079139497
9	2.057083297
10	2.034835511
11	2.015044287
12	2.000069788
13	1.985573486
14	1.972176147
15	1.960784861
16	1.948919884
17	1.940287179
18	1.932413945
19	1.923193266
20	1.917041158
21	1.911133201
22	1.903493282
23	1.89722651
24	1.892593543
25	1.889103338
26	1.884528252
27	1.880322174
28	1.876402585
29	1.873473658
30	1.869915961
31	1.867166091
32	1.864340416
33	1.861886367
34	1.859990359
35	1.857913196
36	1.855591093
37	1.853442888
38	1.850778905
39	1.849364931
40	1.847492598
41	1.846143578
42	1.844715605
43	1.842063032
44	1.841403535
45	1.839432398
46	1.838074401
47	1.836297477
48	1.834755396
49	1.833997365
50	1.833725295
51	1.831948467
52	1.830900253
53	1.83010422
54	1.828499328
55	1.827103399
56	1.825799482
57	1.824591906
58	1.823650677
59	1.823573772
60	1.822319191
61	1.820854161
62	1.819836162
63	1.819335316
64	1.818448276
65	1.817502257
66	1.816843307
67	1.816090318
68	1.815303216
69	1.81481235
70	1.814534343
71	1.813751017
72	1.813352306
73	1.813139082
74	1.812928828
75	1.812411662
76	1.811778902
77	1.811523713
78	1.811246918
79	1.811044557
80	1.809805082
81	1.808648881
82	1.808018187
83	1.807558992
84	1.807397393
85	1.806921193
86	1.806136771
87	1.805682872
88	1.805351459
89	1.804755684
90	1.804388467
91	1.803798757
92	1.803696596
93	1.803449863
94	1.802944823
95	1.801883107
96	1.801581137
97	1.801332745
98	1.80101342
99	1.800824573
100	1.800665559
101	1.800187235
102	1.799933861
103	1.7994042
104	1.798878231
105	1.798148268
106	1.797222069
107	1.79660794
108	1.7962132
109	1.795645318
110	1.795257253
111	1.794535304
112	1.793928086
113	1.793568625
114	1.792997194
115	1.792302251
116	1.791836274
117	1.79165647
118	1.791464972
119	1.791152444
120	1.790221633
121	1.78970792
122	1.789028814
123	1.787833761
124	1.786913177
125	1.786549963
126	1.786177225
127	1.785346322
128	1.784806219
129	1.784212226
130	1.783134542
131	1.782503603
132	1.782235469
133	1.781538826
134	1.781062686
135	1.780565975
136	1.780025987
137	1.77940874
138	1.779115406
139	1.778599411
140	1.778467783
141	1.778047641
142	1.777416245
143	1.777149803
144	1.776274215
145	1.776229758
146	1.775354451
147	1.7750211
148	1.774460529
149	1.773853744
150	1.773649111
151	1.773231634
152	1.773045253
153	1.77245447
154	1.772046732
155	1.771195878
156	1.770580772
157	1.769904365
158	1.769542054
159	1.76925728
160	1.768667104
161	1.768516296
162	1.768221112
163	1.767989588
164	1.767411651
165	1.767132162
166	1.766416468
167	1.765933258
168	1.765413534
169	1.765023249
170	1.764556607
171	1.764400135
172	1.764098614
173	1.763813178
174	1.763579408
175	1.763442197
176	1.763054113
177	1.763011561
178	1.762727996
179	1.76255906
180	1.762318279
181	1.762172493
182	1.761904376
183	1.76125515
184	1.760945122
185	1.760584911
186	1.760208822
187	1.760048432
188	1.759694642
189	1.759210033
190	1.759145475
191	1.758763934
192	1.758494249
193	1.758232563
194	1.75788052
195	1.757523716
196	1.757284829
197	1.757172524
198	1.756780541
199	1.756573892
200	1.75646824
201	1.756112243
202	1.755999534
203	1.755905977
