iter	Passed	Remaining
0	808	807543
1	1644	820747
2	2589	860561
3	3438	856193
4	4229	841698
5	5243	868600
6	6223	882828
7	7169	889051
8	8067	888324
9	9220	912867
10	10059	904480
11	11127	916143
12	12069	916353
13	12949	912011
14	13976	917817
15	14799	910160
16	15646	904717
17	16604	905869
18	17702	914004
19	18582	910556
20	19635	915388
21	20732	921641
22	21643	919361
23	22631	920352
24	23568	919188
25	24445	915766
26	25289	911374
27	26155	907982
28	27189	910389
29	28150	910205
30	29028	907362
31	29935	905535
32	30952	907013
33	31739	901783
34	32532	896977
35	33447	895649
36	34455	896778
37	35449	897439
38	36405	897080
39	37232	893573
40	38280	895381
41	39167	893399
42	40062	891613
43	41085	892678
44	41996	891259
45	42998	891753
46	43876	889658
47	44692	886409
48	45712	887200
49	46684	887000
50	47598	885704
51	48573	885526
52	49407	882808
53	50345	881983
54	51237	880347
55	52274	881195
56	53190	879982
57	54255	881177
58	55338	882596
59	55608	871192
60	56523	870089
61	57445	869093
62	58490	869928
63	59459	869598
64	60388	868662
65	61574	871378
66	62504	870397
67	63658	872492
68	64694	872902
69	65853	874910
70	66817	874271
71	67858	874617
72	68890	874815
73	69750	872820
74	69928	862454
75	70893	861916
76	71783	860475
77	72658	858864
78	73662	858772
79	74689	858928
80	75643	858226
81	76639	857986
82	77752	859023
83	78782	859103
84	79792	858937
85	80624	856870
86	81585	856174
87	82535	855362
88	83456	854259
89	84350	852875
90	85265	851714
91	86251	851260
92	87200	850434
93	88130	849428
94	88955	847418
95	89966	847180
96	90958	846762
97	91772	844679
98	92706	843726
99	93483	841349
100	94346	839779
101	95365	839586
102	96478	840202
103	97480	839828
104	98522	839784
105	99531	839448
106	100583	839446
107	101620	839309
108	102606	838740
109	103520	837576
110	104550	837348
111	105569	837014
112	106522	836154
113	107538	835782
114	108527	835189
115	109551	834856
116	110576	834518
117	111592	834108
118	112621	833777
119	113790	834464
120	114763	833697
121	115739	832944
122	116761	832521
123	117699	831486
124	118564	829951
125	119573	829425
126	120527	828509
127	121268	826140
128	122272	825576
129	123322	825312
130	124138	823480
131	125049	822295
132	126045	821662
133	126981	820642
134	127932	819713
135	128884	818793
136	129913	818357
137	130860	817403
138	131755	816128
139	132798	815764
140	133838	815371
141	134772	814330
142	135744	813518
143	136777	813065
144	137480	810659
145	138446	809818
146	139292	808272
147	140206	807134
148	141164	806245
149	142177	805673
150	143158	804908
151	144092	803882
152	145023	802845
153	146057	802369
154	146957	801157
155	147731	799266
156	148672	798285
157	149453	796454
158	150535	796229
159	151492	795336
160	152462	794509
161	153479	793922
162	154379	792732
163	155399	792158
164	156372	791337
165	157375	790671
166	158285	789530
167	159210	788472
168	160137	787422
169	161161	786848
170	162104	785873
171	162869	784044
172	163805	783046
173	164859	782609
174	165907	782133
175	166920	781492
176	167939	780872
177	168773	779394
178	169769	778661
179	170710	777680
180	171635	776628
181	172595	775729
182	173574	774921
183	174352	773217
184	175141	771568
185	175987	770180
186	177033	769668
187	177944	768567
188	178948	767870
189	179924	767044
190	180936	766373
191	181844	765260
192	182814	764411
193	183715	763272
194	184737	762632
195	185788	762111
196	186655	760834
197	187670	760159
198	188872	760234
199	189798	759194
200	190770	758338
201	191761	757552
202	192830	757072
203	193871	756478
